iter	Passed	Remaining
707	33726	61545
708	33775	61501
709	33819	61447
710	33871	61406
711	33921	61364
712	33967	61312
713	34014	61264
714	34060	61213
715	34106	61162
716	34161	61129
717	34207	61077
718	34254	61028
719	34299	60976
720	34343	60923
721	34393	60879
722	34441	60833
723	34490	60786
724	34537	60738
725	34586	60692
726	34638	60652
727	34682	60598
728	34731	60553
729	34780	60507
730	34822	60451
731	34871	60406
732	34917	60355
733	34965	60308
734	35012	60260
735	35058	60209
736	35107	60164
737	35157	60120
738	35207	60076
739	35252	60023
740	35296	59970
741	35346	59927
742	35396	59883
743	35444	59835
744	35490	59786
745	35541	59743
746	35596	59707
747	35639	59653
748	35684	59600
749	35731	59552
750	35782	59510
751	35833	59468
752	35882	59422
753	35928	59373
754	35972	59318
755	36019	59269
756	36069	59227
757	36116	59178
758	36163	59128
759	36209	59078
760	36256	59030
761	36306	58986
762	36352	58935
763	36404	58894
764	36447	58839
765	36494	58791
766	36546	58750
767	36599	58712
768	36646	58663
769	36694	58615
770	36738	58562
771	36789	58519
772	36835	58470
773	36884	58424
774	36928	58371
775	36975	58322
776	37026	58279
777	37073	58231
778	37121	58184
779	37173	58143
780	37224	58101
781	37276	58060
782	37323	58011
783	37370	57962
784	37415	57910
785	37463	57864
786	37514	57820
787	37559	57768
788	37603	57716
789	37649	57665
790	37695	57614
791	37746	57572
792	37794	57526
793	37844	57481
794	37885	57423
795	37933	57376
796	37982	57331
797	38027	57279
798	38072	57227
799	38120	57180
800	38168	57133
801	38215	57085
802	38260	57033
803	38308	56986
804	38351	56932
805	38397	56881
806	38446	56835
807	38494	56788
808	38538	56736
809	38591	56695
810	38640	56650
811	38689	56605
812	38737	56557
813	38787	56513
814	38833	56462
815	38879	56413
816	38937	56380
817	38982	56329
818	39028	56279
819	39077	56232
820	39122	56182
821	39175	56142
822	39222	56093
823	39270	56046
824	39314	55993
825	39358	55941
826	39410	55899
827	39453	55844
828	39502	55799
829	39552	55754
830	39598	55704
831	39649	55661
832	39698	55615
833	39747	55570
834	39790	55516
835	39834	55463
836	39883	55417
837	39932	55371
838	39984	55329
839	40030	55280
840	40077	55231
841	40125	55184
842	40169	55132
843	40214	55080
844	40264	55035
845	40311	54987
846	40365	54948
847	40412	54900
848	40457	54849
849	40503	54798
850	40544	54742
851	40596	54700
852	40642	54651
853	40689	54601
854	40734	54551
855	40781	54502
856	40835	54462
857	40878	54408
858	40920	54354
859	40966	54304
860	41011	54253
861	41060	54207
862	41106	54157
863	41150	54105
864	41198	54058
865	41248	54013
866	41297	53967
867	41346	53921
868	41396	53877
869	41444	53830
870	41494	53785
871	41547	53744
872	41593	53694
873	41632	53636
874	41683	53593
875	41731	53545
876	41784	53504
877	41830	53455
878	41881	53412
879	41929	53364
880	41973	53312
881	42023	53267
882	42070	53219
883	42117	53170
884	42163	53121
885	42209	53072
886	42265	53034
887	42313	52986
888	42356	52933
889	42404	52886
890	42454	52842
891	42506	52799
892	42547	52743
893	42592	52692
894	42634	52637
895	42680	52588
896	42733	52547
897	42782	52500
898	42827	52450
899	42872	52399
900	42918	52349
901	42975	52313
902	43021	52264
903	43067	52214
904	43112	52163
905	43157	52113
906	43205	52065
907	43252	52017
908	43297	51966
909	43339	51912
910	43385	51862
911	43436	51819
912	43480	51767
913	43527	51718
914	43573	51669
915	43619	51620
916	43672	51577
917	43727	51538
918	43774	51490
919	43823	51444
920	43872	51399
921	43924	51356
922	43972	51308
923	44016	51256
924	44058	51202
925	44101	51149
926	44152	51106
927	44199	51057
928	44245	51008
929	44292	50960
930	44340	50912
931	44395	50873
932	44442	50825
933	44487	50774
934	44534	50726
935	44575	50671
936	44624	50624
937	44671	50577
938	44718	50528
939	44771	50487
940	44816	50436
941	44866	50391
942	44912	50341
943	44961	50295
944	45012	50251
945	45058	50202
946	45112	50162
947	45161	50116
948	45209	50068
949	45257	50021
950	45304	49973
951	45352	49925
952	45397	49875
953	45443	49825
954	45491	49778
955	45539	49731
956	45592	49690
957	45647	49650
958	45698	49605
959	45745	49557
960	45791	49508
961	45839	49461
962	45882	49407
963	45926	49356
964	45976	49311
965	46023	49263
966	46080	49225
967	46127	49177
968	46180	49135
969	46226	49086
970	46267	49030
971	46317	48986
972	46364	48937
973	46409	48887
974	46454	48836
975	46503	48790
976	46555	48747
977	46602	48699
978	46651	48652
979	46697	48603
980	46744	48555
981	46796	48511
982	46848	48469
983	46899	48424
984	46945	48375
985	46994	48328
986	47045	48285
987	47099	48243
988	47152	48200
989	47200	48154
990	47247	48105
991	47298	48061
992	47343	48011
993	47389	47961
994	47439	47916
995	47492	47873
996	47533	47819
997	47582	47773
998	47629	47725
999	47679	47679
1000	47729	47634
1001	47780	47589
1002	47827	47541
1003	47873	47492
1004	47922	47445
1005	47977	47404
1006	48021	47353
1007	48067	47304
1008	48112	47254
1009	48160	47207
1010	48211	47162
1011	48259	47115
1012	48305	47065
1013	48354	47019
1014	48402	46972
1015	48453	46927
1016	48500	46879
1017	48545	46829
1018	48591	46779
1019	48636	46729
1020	48691	46688
1021	48739	46641
1022	48787	46593
1023	48832	46543
1024	48877	46493
1025	48931	46451
1026	48972	46397
1027	49020	46350
1028	49064	46299
1029	49125	46263
1030	49177	46220
1031	49224	46171
1032	49273	46125
1033	49319	46076
1034	49370	46031
1035	49423	45988
1036	49471	45940
1037	49515	45890
1038	49560	45840
1039	49612	45796
1040	49667	45755
1041	49710	45703
1042	49758	45655
1043	49807	45608
1044	49852	45558
1045	49906	45516
1046	49952	45467
1047	49997	45417
1048	50040	45365
1049	50084	45314
1050	50133	45267
1051	50182	45221
1052	50228	45172
1053	50276	45124
1054	50321	45074
1055	50371	45029
1056	50422	44983
1057	50472	44938
1058	50519	44890
1059	50569	44844
1060	50621	44800
1061	50669	44753
1062	50714	44703
1063	50760	44653
1064	50803	44602
1065	50852	44555
1066	50903	44510
1067	50949	44461
1068	50993	44410
1069	51037	44359
1070	51087	44314
1071	51131	44263
1072	51177	44213
1073	51229	44169
1074	51277	44122
1075	51326	44075
1076	51373	44027
1077	51422	43980
1078	51469	43932
1079	51510	43879
1080	51563	43836
1081	51610	43787
1082	51664	43745
1083	51708	43694
1084	51755	43646
1085	51809	43603
1086	51857	43556
1087	51906	43510
1088	51954	43462
1089	51996	43409
1090	52046	43364
1091	52095	43317
1092	52144	43270
1093	52190	43222
1094	52240	43176
1095	52295	43133
1096	52338	43082
1097	52387	43035
1098	52437	42989
1099	52481	42939
1100	52532	42894
1101	52580	42846
1102	52628	42799
1103	52675	42751
1104	52716	42698
1105	52769	42654
1106	52817	42607
1107	52863	42557
1108	52910	42509
1109	52953	42458
1110	53008	42416
1111	53054	42367
1112	53101	42318
1113	53148	42270
1114	53192	42220
1115	53243	42174
1116	53290	42126
1117	53336	42077
1118	53383	42029
1119	53431	41981
1120	53487	41940
1121	53532	41890
1122	53577	41841
1123	53622	41791
1124	53670	41743
1125	53721	41698
1126	53771	41652
1127	53818	41604
1128	53866	41556
1129	53914	41509
1130	53964	41463
1131	54009	41413
1132	54053	41362
1133	54099	41314
1134	54146	41265
1135	54199	41222
1136	54242	41171
1137	54290	41123
1138	54334	41073
1139	54378	41022
1140	54435	40981
1141	54477	40929
1142	54524	40881
1143	54571	40833
1144	54618	40784
1145	54668	40739
1146	54717	40692
1147	54762	40642
1148	54806	40592
1149	54852	40543
1150	54904	40498
1151	54953	40452
1152	55001	40404
1153	55047	40355
1154	55099	40311
1155	55155	40268
1156	55201	40220
1157	55253	40175
1158	55296	40124
1159	55343	40076
1160	55393	40030
1161	55440	39982
1162	55486	39933
1163	55535	39886
1164	55585	39840
1165	55640	39797
1166	55686	39748
1167	55730	39698
1168	55776	39649
1169	55826	39603
1170	55878	39558
1171	55925	39510
1172	55970	39461
1173	56018	39413
1174	56065	39365
1175	56116	39319
1176	56165	39273
1177	56213	39225
1178	56259	39176
1179	56303	39125
1180	56351	39078
1181	56401	39032
1182	56446	38982
1183	56490	38932
1184	56542	38887
1185	56593	38842
1186	56641	38795
1187	56688	38746
1188	56735	38698
1189	56783	38650
1190	56839	38609
1191	56887	38561
1192	56930	38510
1193	56975	38461
1194	57020	38411
1195	57073	38367
1196	57122	38320
1197	57171	38273
1198	57217	38224
1199	57266	38177
1200	57322	38135
1201	57368	38086
1202	57415	38038
1203	57462	37989
1204	57513	37944
1205	57562	37897
1206	57608	37849
1207	57654	37799
1208	57706	37754
1209	57750	37704
1210	57798	37657
1211	57851	37612
1212	57902	37567
1213	57952	37520
1214	57999	37472
1215	58054	37429
1216	58103	37382
1217	58150	37334
1218	58197	37286
1219	58246	37239
1220	58291	37190
1221	58343	37144
1222	58386	37094
1223	58429	37043
1224	58479	36997
1225	58523	36947
1226	58565	36896
1227	58617	36850
1228	58690	36818
1229	58749	36778
1230	58806	36736
1231	58859	36691
1232	58918	36650
1233	58985	36614
1234	59042	36573
1235	59092	36526
1236	59142	36480
1237	59190	36432
1238	59238	36384
1239	59288	36338
1240	59335	36289
1241	59387	36244
1242	59432	36195
1243	59481	36147
1244	59526	36098
1245	59572	36049
1246	59620	36001
1247	59666	35952
1248	59713	35904
1249	59762	35857
1250	59809	35809
1251	59864	35765
1252	59911	35717
1253	59959	35669
1254	60007	35621
1255	60056	35575
1256	60111	35531
1257	60160	35484
1258	60205	35434
1259	60253	35387
1260	60299	35337
1261	60357	35296
1262	60405	35248
1263	60459	35204
1264	60508	35157
1265	60554	35108
1266	60605	35062
1267	60652	35013
1268	60698	34965
1269	60749	34918
1270	60793	34868
1271	60850	34826
1272	60900	34779
1273	60965	34741
1274	61023	34699
1275	61071	34651
1276	61121	34605
1277	61166	34555
1278	61211	34506
1279	61258	34457
1280	61309	34411
1281	61365	34368
1282	61425	34327
1283	61476	34281
1284	61526	34234
1285	61583	34191
1286	61634	34145
1287	61680	34096
1288	61726	34047
1289	61778	34002
1290	61832	33957
1291	61878	33908
1292	61931	33863
1293	61980	33816
1294	62030	33769
1295	62081	33723
1296	62131	33676
1297	62177	33627
1298	62231	33583
1299	62277	33533
1300	62326	33486
1301	62375	33439
1302	62422	33391
1303	62476	33346
1304	62524	33298
1305	62571	33249
1306	62624	33204
1307	62675	33158
1308	62732	33115
1309	62785	33070
1310	62834	33022
1311	62879	32973
1312	62927	32925
1313	62980	32880
1314	63032	32834
1315	63077	32784
1316	63123	32735
1317	63170	32687
1318	63220	32640
1319	63262	32589
1320	63305	32539
1321	63351	32490
1322	63394	32440
1323	63445	32393
1324	63491	32344
1325	63538	32296
1326	63583	32247
1327	63630	32198
1328	63680	32151
1329	63736	32107
1330	63785	32060
1331	63831	32011
1332	63882	31964
1333	63935	31919
1334	63983	31872
1335	64032	31824
1336	64084	31778
1337	64132	31730
1338	64181	31683
1339	64229	31635
1340	64269	31583
1341	64325	31539
1342	64377	31493
1343	64426	31446
1344	64475	31398
1345	64521	31349
1346	64575	31304
1347	64628	31259
1348	64678	31212
1349	64723	31163
1350	64770	31114
1351	64822	31068
1352	64871	31021
1353	64920	30973
1354	64972	30927
1355	65020	30880
1356	65079	30837
1357	65128	30789
1358	65179	30743
1359	65225	30694
1360	65274	30646
1361	65325	30600
1362	65374	30552
1363	65425	30506
1364	65466	30455
1365	65511	30405
1366	65564	30360
1367	65618	30315
1368	65671	30269
1369	65713	30218
1370	65766	30173
1371	65822	30128
1372	65867	30079
1373	65913	30030
1374	65965	29984
1375	66019	29939
1376	66069	29891
1377	66118	29844
1378	66162	29794
1379	66207	29745
1380	66256	29697
1381	66297	29646
1382	66347	29599
1383	66393	29550
1384	66439	29501
1385	66494	29456
1386	66539	29407
1387	66580	29357
1388	66626	29308
1389	66673	29259
1390	66725	29213
1391	66771	29164
1392	66817	29115
1393	66863	29066
1394	66910	29018
1395	66960	28971
1396	67008	28923
1397	67052	28873
1398	67103	28827
1399	67150	28778
1400	67201	28732
